"Median Household Income by State","",""
"State","Income","Margin Of Error"
"Alabama","$46,472","+/- $301"
"Alaska","$76,114","+/- $979"
"Arizona","$53,510","+/- $259"
"Arkansas","$43,813","+/- $401"
"California","$67,169","+/- $192"
"Colorado","$65,458","+/- $317"
"Connecticut","$73,781","+/- $450"
"Delaware","$63,036","+/- $738"
"District of Columbia","$77,649","+/- $1,075"
"Florida","$50,883","+/- $140"
"Georgia","$52,977","+/- $282"
"Hawaii","$74,923","+/- $736"
"Idaho","$50,985","+/- $368"
"Illinois","$61,229","+/- $190"
"Indiana","$52,182","+/- $200"
"Iowa","$56,570","+/- $303"
"Kansas","$55,477","+/- $401"
"Kentucky","$46,535","+/- $288"
"Louisiana","$46,710","+/- $353"
"Maine","$53,024","+/- $513"
"Maryland","$78,916","+/- $380"
"Massachusetts","$74,167","+/- $380"
"Michigan","$52,668","+/- $180"
"Minnesota","$65,699","+/- $249"
"Mississippi","$42,009","+/- $278"
"Missouri","$51,542","+/- $215"
"Montana","$50,801","+/- $479"
"Nebraska","$56,675","+/- $392"
"Nevada","$55,434","+/- $349"
"New Hampshire","$71,305","+/- $733"
"New Jersey","$76,475","+/- $425"
"New Mexico","$46,718","+/- $408"
"New York","$62,765","+/- $225"
"North Carolina","$50,320","+/- $204"
"North Dakota","$61,285","+/- $669"
"Ohio","$52,407","+/- $153"
"Oklahoma","$49,767","+/- $240"
"Oregon","$56,119","+/- $370"
"Pennsylvania","$56,951","+/- $205"
"Puerto Rico","$19,775","+/- $176"
"Rhode Island","$61,043","+/- $763"
"South Carolina","$48,781","+/- $288"
"South Dakota","$54,126","+/- $531"
"Tennessee","$48,708","+/- $242"
"Texas","$57,051","+/- $183"
"Utah","$65,325","+/- $407"
"Vermont","$57,808","+/- $741"
"Virginia","$68,766","+/- $319"
"Washington","$66,174","+/- $272"
"West Virginia","$44,061","+/- $439"
"Wisconsin","$56,759","+/- $213"
"Wyoming","$60,938","+/- $836"
"Source(s): U.S. Census Bureau, 2013-2017 American Community Survey 5-Year Estimates 
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ","",""
