X1,X2,X3
Rank,Average Wind Speed ▼,State / Population
1.,31.44 mph,"District of Columbia / 633,736"
2.,21.32 mph,"South Dakota / 834,708"
3.,21.03 mph,"Montana / 1,006,370"
4.,20.88 mph,"Wyoming / 575,251"
5.,20.59 mph,"Idaho / 1,599,464"
6.,20.16 mph,"Colorado / 5,197,580"
7.,19.74 mph,"Maryland / 5,887,776"
8.,19.32 mph,"Virginia / 8,185,131"
9.,19.31 mph,"Missouri / 6,028,076"
10.,19.30 mph,"Kansas / 2,882,946"
11.,18.80 mph,"North Dakota / 704,925"
12.,18.72 mph,"West Virginia / 1,853,881"
13.,18.51 mph,"Nebraska / 1,855,617"
14.,18.51 mph,"Minnesota / 5,383,661"
15.,18.40 mph,"Wisconsin / 5,724,692"
16.,18.28 mph,"Illinois / 12,868,747"
17.,18.26 mph,"Utah / 2,858,111"
18.,18.09 mph,"Iowa / 3,078,116"
19.,18.07 mph,"Vermont / 626,358"
20.,17.99 mph,"North Carolina / 9,750,405"
21.,17.84 mph,"Indiana / 6,542,411"
22.,17.82 mph,"New Mexico / 2,080,085"
23.,17.50 mph,"Michigan / 9,889,024"
24.,17.43 mph,"Tennessee / 6,451,365"
25.,17.43 mph,"Nevada / 2,761,584"
26.,17.42 mph,"Pennsylvania / 12,758,729"
27.,17.13 mph,"New Hampshire / 1,321,069"
28.,16.95 mph,"Maine / 1,328,535"
29.,16.46 mph,"Oklahoma / 3,818,851"
30.,16.44 mph,"Arkansas / 2,947,036"
31.,16.38 mph,"Oregon / 3,900,343"
32.,16.35 mph,"Alaska / 728,300"
33.,16.26 mph,"Kentucky / 4,383,272"
34.,16.16 mph,"Ohio / 11,560,380"
35.,15.92 mph,"Arizona / 6,561,516"
36.,15.88 mph,"South Carolina / 4,727,273"
37.,15.76 mph,"Massachusetts / 6,657,291"
38.,15.57 mph,"New York / 19,594,330"
39.,15.55 mph,"Texas / 26,092,033"
40.,15.34 mph,"Georgia / 9,907,756"
41.,15.19 mph,"Mississippi / 2,984,345"
42.,15.03 mph,"Washington / 6,899,123"
43.,14.91 mph,"Rhode Island / 1,053,252"
44.,14.70 mph,"Alabama / 4,817,678"
45.,14.63 mph,"Florida / 19,361,792"
46.,14.33 mph,"New Jersey / 8,874,374"
47.,14.03 mph,"Hawaii / 1,392,704"
48.,13.97 mph,"Connecticut / 3,592,053"
49.,13.60 mph,"Louisiana / 4,601,049"
50.,13.54 mph,"California / 38,066,920"
51.,12.91 mph,"Delaware / 917,060"
